duration,pkt_rate,packet_rate,avg_pkt_size,byte_rate,avg_size,syn_ratio,fin_ratio,rst_ratio,flag_entropy,ttl_entropy,ipid_entropy,session_coherence,burstiness,suspicion_score
132297.8429019451,4.535221337242064e-05,4.535221337242064e-05,96.0,0.004353812483752381,96.0,0.0,0.0,0.0,0.0,1.0,2.584962500721156,1.8860034160663803,1.8860034160663803,0.1981927896723057
131418.87556099892,0.00015218514018343484,0.00015218514018343484,96.0,0.014609773457609745,96.0,0.0,0.0,0.0,0.0,1.0,4.321928094887363,3.2908412575249586,3.2908412575249586,0.3172223752481323
133437.91522789001,0.00010491770630626463,0.00010491770630626463,96.0,0.010072099805401403,96.0,0.0,0.0,0.0,0.0,1.0,3.8073549220576055,3.0321683610732006,3.0321683610732006,0.2914105365864087
15371.260271072388,0.000520451795033061,0.000520451795033061,96.0,0.049963372323173855,96.0,0.0,0.0,0.0,0.0,1.0,3.0,1.5801210356812765,1.5801210356812765,0.18814061108776378
133213.72458600998,0.00018016161678974978,0.00018016161678974978,96.0,0.01729551521181598,96.0,0.0,0.0,0.0,0.0,1.0,4.584962500721156,3.606844618519943,3.606844618519943,0.3414432658638015
125751.55653500557,0.00011133062990041645,0.00011133062990041645,96.0,0.010687740470439978,96.0,0.0,0.0,0.0,0.0,1.0,3.8073549220576055,2.924040443038842,2.924040443038842,0.28492286169673486
15892.41393995285,0.0003775386182785144,0.0003775386182785144,96.0,0.03624370735473738,96.0,0.0,0.0,0.0,0.0,1.0,2.584962500721156,1.22662326603042,1.22662326603042,0.1586299906357402
131106.31952691078,4.5764384368737045e-05,4.5764384368737045e-05,96.0,0.0043933808993987565,96.0,0.0,0.0,0.0,0.0,1.0,2.584962500721156,1.7699752671930573,1.7699752671930573,0.19123110075227143
125144.414965868,4.7944608647828555e-05,4.7944608647828555e-05,96.0,0.0046026824301915415,96.0,0.0,0.0,0.0,0.0,1.0,2.584962500721156,1.6555092929339803,1.6555092929339803,0.18436314236213355
18715.492433071136,0.0003205900150079794,0.0003205900150079794,96.0,0.03077664144076602,96.0,0.0,0.0,0.0,0.0,1.0,2.584962500721156,1.2270278804841457,1.2270278804841457,0.15865426579450564
134394.86396193504,0.00010417064750305675,0.00010417064750305675,96.0,0.010000382160293447,96.0,0.0,0.0,0.0,0.0,1.0,3.8073549220576055,2.782880493925773,2.782880493925773,0.2764532645351513
130424.98328399658,0.00015334485384943915,0.00015334485384943915,96.0,0.014721105969546159,96.0,0.0,0.0,0.0,0.0,1.0,4.321928094887363,3.591912247969097,3.591912247969097,0.335286634709572
128746.19036102295,0.00013980996213965938,0.00013980996213965938,96.0,0.013421756365407302,96.0,0.0,0.0,0.0,0.0,1.0,4.169925001442312,3.2167567957152556,3.2167567957152556,0.3097372452993938
131262.14107704163,9.142011475309432e-05,9.142011475309432e-05,96.0,0.008776331016297054,96.0,0.0,0.0,0.0,0.0,1.0,3.584962500721156,2.8384981731029852,2.8384981731029852,0.275342476476539
127332.22536993027,7.85347147664123e-05,7.85347147664123e-05,96.0,0.007539332617575579,96.0,0.0,0.0,0.0,0.0,1.0,3.321928094887362,2.5808547150510286,2.5808547150510286,0.25462318049018373
124528.70623898506,6.424221564341213e-05,6.424221564341213e-05,96.0,0.006167252701767565,96.0,0.0,0.0,0.0,0.0,1.0,3.0,2.1219642923332565,2.1219642923332565,0.2206511928005952
16818.08471417427,0.0004756784221248217,0.0004756784221248217,96.0,0.045665128523982884,96.0,0.0,0.0,0.0,0.0,1.0,3.0,1.2968696326581846,1.2968696326581846,0.17114552556317708
12808.333061933517,0.0004684450326976626,0.0004684450326976626,96.0,0.04497072313897561,96.0,0.0,0.0,0.0,0.0,1.0,2.584962500721156,1.2691394962430942,1.2691394962430942,0.16118096717569308
130738.8798840046,6.119067263768694e-05,6.119067263768694e-05,96.0,0.0058743045732179465,96.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0971513892453086,2.0971513892453086,0.21916241852377205
121091.52405786514,8.258216318444693e-05,8.258216318444693e-05,96.0,0.007927887665706904,96.0,0.0,0.0,0.0,0.0,1.0,3.321928094887362,2.3805926850067567,2.3805926850067567,0.24260745880895085
133428.1868519783,4.496800969540447e-05,4.496800969540447e-05,96.0,0.00431692893075883,96.0,0.0,0.0,0.0,0.0,1.0,2.584962500721156,1.8237937565672533,1.8237937565672533,0.19446021009083192
121759.56384301186,9.855488654239882e-05,9.855488654239882e-05,96.0,0.009461269108070287,96.0,0.0,0.0,0.0,0.0,1.0,3.584962500721156,2.622014745895434,2.622014745895434,0.2623534710581291
132194.13809418678,0.00013616337501421742,0.00013616337501421742,96.0,0.013071684001364872,96.0,0.0,0.0,0.0,0.0,1.0,4.169925001442312,3.5687707122111947,3.5687707122111947,0.3308580801797525
132399.85239100456,4.531727106674364e-05,4.531727106674364e-05,96.0,0.00435045802240739,96.0,0.0,0.0,0.0,0.0,1.0,2.584962500721156,1.7050139764038215,1.7050139764038215,0.18733342329150388
0.0007240772247314453,2762.136318735594,2762.136318735594,96.0,265165.0865986171,96.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.13619742289540115
124303.92057585716,6.435838839948701e-05,6.435838839948701e-05,96.0,0.006178405286350753,96.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0592040734870816,2.0592040734870816,0.21688557967330985
